EtaINum,EtaAñoFRlt,EtaAñoIni,EtaAñoFin,EtaBloTip,EtaNom,EtaNBlo,Blo01,Blo02,Blo03,Blo04,Blo05,Blo06,Blo07,Blo08,Blo09,Blo10,Blo11,Blo12,Blo13,Blo14,Blo15,Blo16
1,F,*,*,EtaBloDef,MesAbr,16,0.0444,0.1222,0.0444,0.1222,0.0222,0.0611,0.0444,0.1222,0.0444,0.1222,0.0222,0.0611,0.0222,0.0611,0.0222,0.0611
2,F,*,*,EtaBloDef,MesMay,16,0.0403,0.0847,0.0806,0.1694,0.0269,0.0565,0.0403,0.0847,0.0538,0.1129,0.0269,0.0565,0.0269,0.0565,0.0269,0.0565
3,F,*,*,EtaBloDef,MesJun,16,0.0417,0.0833,0.0833,0.1667,0.0278,0.0556,0.0556,0.1111,0.0417,0.0833,0.0139,0.0278,0.0139,0.0278,0.0556,0.1111
4,F,*,*,EtaBloDef,MesJul,16,0.0242,0.0591,0.0726,0.1774,0.0242,0.0591,0.0484,0.1183,0.0363,0.0887,0.0242,0.0591,0.0121,0.0296,0.0484,0.1183
5,F,*,*,EtaBloDef,MesAgo,16,0.0403,0.0847,0.0806,0.1694,0.0269,0.0565,0.0538,0.1129,0.0403,0.0847,0.0269,0.0565,0.0134,0.0282,0.0403,0.0847
6,F,*,*,EtaBloDef,MesSep,16,0.05,0.075,0.0833,0.125,0.05,0.075,0.05,0.075,0.0667,0.1,0.0333,0.05,0.0333,0.05,0.0333,0.05
7,F,*,*,EtaBloDef,MesOct,16,0.0363,0.0887,0.0605,0.1478,0.0363,0.0887,0.0363,0.0887,0.0484,0.1183,0.0242,0.0591,0.0242,0.0591,0.0242,0.0591
8,F,*,*,EtaBloDef,MesNov,16,0.0278,0.0556,0.0694,0.1389,0.0278,0.0556,0.0417,0.0833,0.0694,0.1389,0.0417,0.0833,0.0278,0.0556,0.0278,0.0556
9,F,*,*,EtaBloDef,MesDic,16,0.0444,0.0806,0.0591,0.1075,0.0296,0.0538,0.0444,0.0806,0.0739,0.1344,0.0444,0.0806,0.0296,0.0538,0.0296,0.0538
10,F,*,*,EtaBloDef,MesEne,16,0.0242,0.0591,0.0484,0.1183,0.0242,0.0591,0.0242,0.0591,0.0847,0.207,0.0242,0.0591,0.0242,0.0591,0.0363,0.0887
11,F,*,*,EtaBloDef,MesFeb,16,0.0238,0.0595,0.0476,0.119,0.0238,0.0595,0.0238,0.0595,0.0833,0.2083,0.0238,0.0595,0.0238,0.0595,0.0357,0.0893
12,F,*,*,EtaBloDef,MesMar,16,0.0444,0.0806,0.0739,0.1344,0.0148,0.0269,0.0296,0.0538,0.0887,0.1613,0.0444,0.0806,0.0148,0.0269,0.0444,0.0806
13,F,*,*,EtaBloDia,*,16,Feriado,Trabajo,Feriado,Trabajo,Feriado,Trabajo,Feriado,Trabajo,Feriado,Trabajo,Feriado,Trabajo,Feriado,Trabajo,Feriado,Trabajo
