VarINum,VarAnoIni,VarAnoFin,VarIHid,EtaDatNom,VarTraNom,VarTraNGrd,VarTraMed,VarTraSig,VarTraLam,VarTraCor01
1,*,*,*,MesAbr,EtaParEst,1,1.543904153,0.002398212,-0.6421167,0.499454089
2,*,*,*,MesMay,EtaParEst,1,6.607457252,0.314535549,-0.044967568,0.564597215
3,*,*,*,MesJun,EtaParEst,1,3400.023049,1066.849573,0.9894,0.721365763
4,*,*,*,MesJul,EtaParEst,1,510674.8553,223317.3539,1.644941721,0.697331286
5,*,*,*,MesAgo,EtaParEst,1,6634.013415,1783.433794,1.0799165,0.592271046
6,*,*,*,MesSep,EtaParEst,1,28328.09229,7889.4183,1.269004137,0.722176574
7,*,*,*,MesOct,EtaParEst,1,2.21E+12,9.97E+11,3.523569441,0.722102153
8,*,*,*,MesNov,EtaParEst,1,9.37E+16,4.50E+16,4.788723793,0.872874227
9,*,*,*,MesDic,EtaParEst,1,6138268.756,2667295.379,1.953681346,0.850933896
10,*,*,*,MesEne,EtaParEst,1,7.284456703,0.177990071,-0.022848434,0.903669748
11,*,*,*,MesFeb,EtaParEst,1,1.46451191,0.000818312,-0.679248282,0.88765796
12,*,*,*,MesMar,EtaParEst,1,9.109528206,0.252013339,0.049447425,0.7714593
