DemVegINum,DemVegAñoFRlt,DemVegAñoIni,DemVegAñoFin,DemVegSis,DemVegFPot,DemVegEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
1,F,2017,2017,SING,F,EtaMes,160.0340307,165.0881932,163.4467796,167.3493908,163.0179252,155.756935,160.9665588,159.173648,165.9979119,169.3623746,163.0525612,175.3473552
2,F,2018,2018,SING,F,EtaMes,165.9648757,171.2096542,169.5263819,173.57223,169.0890141,161.5536511,166.9437808,165.0961888,172.1782159,175.3457847,168.8069928,181.5433149
3,F,2019,2019,SING,F,EtaMes,171.8369169,177.2707426,175.5420553,179.7289606,175.0916167,167.2846028,172.8580394,170.9472545,178.2808536,181.09396,174.3344221,187.4967449
4,F,2020,2020,SING,F,EtaMes,177.4810593,183.0972483,181.3276971,185.6505459,180.8665399,172.7981456,178.5466484,176.576211,184.1521724,187.6774321,180.6675759,194.3159006
5,F,2021,2021,SING,F,EtaMes,183.9441904,189.767248,187.9457557,192.4260668,187.4736335,179.1086888,185.0600074,183.0211935,190.8742886,193.9823594,186.7315672,200.8454794
6,F,2022,2022,SING,F,EtaMes,190.1335006,196.1543733,194.284372,198.9146792,193.8010319,185.1509482,191.2947474,189.1901613,197.3079815,200.2426786,192.7528299,207.3292989
7,F,2023,2023,SING,F,EtaMes,196.2794434,202.4973698,200.5795321,205.3589637,200.0851812,191.1520595,197.4876587,195.3177435,203.6988125,206.5546353,198.8238994,213.8664743
8,F,2024,2024,SING,F,EtaMes,202.4762427,208.8914534,206.924375,211.8545982,206.4198841,197.2019507,203.7301017,201.494635,210.1405197,211.893257,203.9591916,219.3957091
9,F,2025,2025,SING,F,EtaMes,207.7172727,214.2994258,212.2900602,217.3481471,211.7770025,202.3185654,209.0104006,206.719073,215.5888657,215.4563646,207.3864634,223.085879
10,F,2026,2026,SING,F,EtaMes,211.215334,217.9088318,215.8712893,221.0149179,215.3526274,205.7336657,212.5347825,210.2056627,219.2245167,219.480242,211.2574521,227.253181
11,F,2027,2027,SING,F,EtaMes,215.1650907,221.9838198,219.913187,225.1535804,219.3881337,209.588395,216.5133243,214.1414973,223.3285509,223.441377,215.0681083,231.3555651
12,F,2028,2028,SING,F,EtaMes,219.0534441,225.9952454,223.8919411,229.227724,223.3608788,213.3833012,220.4299834,218.0161953,227.3687527,227.6058058,219.074518,235.6684823
13,F,2029,2029,SING,F,EtaMes,223.1411544,230.2121385,228.0740324,233.5101689,227.5366677,217.3723155,224.5471188,222.0892177,231.615718,231.742629,223.054489,239.9529013
14,F,2030,2030,SING,F,EtaMes,227.2019607,234.40088,232.2278738,237.7639176,231.6846748,221.3350447,228.6369711,226.1353891,235.8345587,236.9295874,228.0452865,245.3247664
15,F,2031,2031,SING,F,EtaMes,232.2925909,239.6517601,237.4338482,243.0950564,236.8827577,226.3011376,233.7630812,231.2066428,241.1223535,241.924131,232.8510404,250.4974535
16,F,2032,*,SING,F,EtaMes,237.1946141,244.7076904,242.4462371,248.228206,241.8880066,231.0832518,238.6991121,236.0899558,246.2140279,246.8488937,237.5898332,255.5979639
